DiskSize,DiskType,Inputs,MachineType,NodeCount,PriceHourlyPerNode,ResponseTimes,Zone,PriceHourly,CPUPerNode,CPUs,NumberAndMachine
30,pd-standard,12204,n1-highcpu-8,2,0.312,0.845358,europe-west2-a,0.624,8,16,2 n1-highcpu-8's
30,pd-standard,9235,n1-highcpu-8,2,0.312,0.489649,europe-west2-a,0.624,8,16,2 n1-highcpu-8's
30,pd-standard,11475,n1-highcpu-8,2,0.312,0.745248,europe-west2-a,0.624,8,16,2 n1-highcpu-8's
30,pd-standard,13202,n1-highcpu-8,2,0.312,0.990289,europe-west2-a,0.624,8,16,2 n1-highcpu-8's
30,pd-standard,10776,n1-highcpu-8,2,0.312,0.679636,europe-west2-a,0.624,8,16,2 n1-highcpu-8's
30,pd-standard,8545,n1-highcpu-8,2,0.312,0.423958,europe-west2-a,0.624,8,16,2 n1-highcpu-8's
30,pd-standard,13618,n1-highcpu-8,2,0.312,1.047054,europe-west2-a,0.624,8,16,2 n1-highcpu-8's
30,pd-standard,13346,n1-highcpu-8,2,0.312,1.013771,europe-west2-a,0.624,8,16,2 n1-highcpu-8's
30,pd-standard,8899,n1-highcpu-8,2,0.312,0.459097,europe-west2-a,0.624,8,16,2 n1-highcpu-8's
30,pd-standard,16236,n1-highcpu-8,2,0.312,1.476923,europe-west2-a,0.624,8,16,2 n1-highcpu-8's
30,pd-standard,15105,n1-highcpu-8,2,0.312,1.297076,europe-west2-a,0.624,8,16,2 n1-highcpu-8's
30,pd-standard,15735,n1-highcpu-8,2,0.312,1.399313,europe-west2-a,0.624,8,16,2 n1-highcpu-8's
30,pd-standard,10056,n1-highcpu-8,2,0.312,0.579275,europe-west2-a,0.624,8,16,2 n1-highcpu-8's
30,pd-standard,15128,n1-highcpu-8,2,0.312,1.302875,europe-west2-a,0.624,8,16,2 n1-highcpu-8's
30,pd-standard,10340,n1-highcpu-8,2,0.312,0.642647,europe-west2-a,0.624,8,16,2 n1-highcpu-8's
30,pd-standard,14277,n1-highcpu-8,2,0.312,1.152906,europe-west2-a,0.624,8,16,2 n1-highcpu-8's
30,pd-standard,9793,n1-highcpu-8,2,0.312,0.563824,europe-west2-a,0.624,8,16,2 n1-highcpu-8's
30,pd-standard,10854,n1-highcpu-8,2,0.312,0.681284,europe-west2-a,0.624,8,16,2 n1-highcpu-8's
30,pd-standard,10679,n1-highcpu-8,2,0.312,0.652871,europe-west2-a,0.624,8,16,2 n1-highcpu-8's
30,pd-standard,3355,n1-highcpu-8,2,0.312,0.08963,europe-west2-a,0.624,8,16,2 n1-highcpu-8's
30,pd-standard,10745,n1-highcpu-8,2,0.312,0.659243,europe-west2-a,0.624,8,16,2 n1-highcpu-8's
30,pd-standard,13478,n1-highcpu-8,2,0.312,1.018057,europe-west2-a,0.624,8,16,2 n1-highcpu-8's
30,pd-standard,13362,n1-highcpu-8,2,0.312,1.02126,europe-west2-a,0.624,8,16,2 n1-highcpu-8's
30,pd-standard,15159,n1-highcpu-8,2,0.312,1.283787,europe-west2-a,0.624,8,16,2 n1-highcpu-8's
30,pd-standard,12492,n1-highcpu-8,2,0.312,0.883656,europe-west2-a,0.624,8,16,2 n1-highcpu-8's
30,pd-standard,12600,n1-highcpu-8,2,0.312,0.900448,europe-west2-a,0.624,8,16,2 n1-highcpu-8's
30,pd-standard,10305,n1-highcpu-8,2,0.312,0.598576,europe-west2-a,0.624,8,16,2 n1-highcpu-8's
30,pd-standard,6849,n1-highcpu-8,2,0.312,0.297654,europe-west2-a,0.624,8,16,2 n1-highcpu-8's
30,pd-standard,12333,n1-highcpu-8,2,0.312,0.866857,europe-west2-a,0.624,8,16,2 n1-highcpu-8's
30,pd-standard,9291,n1-highcpu-8,2,0.312,0.49515,europe-west2-a,0.624,8,16,2 n1-highcpu-8's
30,pd-standard,6970,n1-highcpu-8,2,0.312,0.30269,europe-west2-a,0.624,8,16,2 n1-highcpu-8's
30,pd-standard,7002,n1-highcpu-8,2,0.312,0.297685,europe-west2-a,0.624,8,16,2 n1-highcpu-8's
30,pd-standard,11243,n1-highcpu-8,2,0.312,0.740045,europe-west2-a,0.624,8,16,2 n1-highcpu-8's
30,pd-standard,10347,n1-highcpu-8,2,0.312,0.613226,europe-west2-a,0.624,8,16,2 n1-highcpu-8's
30,pd-standard,16680,n1-highcpu-8,2,0.312,1.572931,europe-west2-a,0.624,8,16,2 n1-highcpu-8's
30,pd-standard,12513,n1-highcpu-8,2,0.312,0.900545,europe-west2-a,0.624,8,16,2 n1-highcpu-8's
30,pd-standard,7404,n1-highcpu-8,2,0.312,0.333497,europe-west2-a,0.624,8,16,2 n1-highcpu-8's
30,pd-standard,14693,n1-highcpu-8,2,0.312,1.213112,europe-west2-a,0.624,8,16,2 n1-highcpu-8's
30,pd-standard,14007,n1-highcpu-8,2,0.312,1.125917,europe-west2-a,0.624,8,16,2 n1-highcpu-8's
30,pd-standard,10552,n1-highcpu-8,2,0.312,0.636007,europe-west2-a,0.624,8,16,2 n1-highcpu-8's
30,pd-standard,10311,n1-highcpu-8,2,0.312,0.606907,europe-west2-a,0.624,8,16,2 n1-highcpu-8's
30,pd-standard,12288,n1-highcpu-8,2,0.312,0.874298,europe-west2-a,0.624,8,16,2 n1-highcpu-8's
30,pd-standard,13886,n1-highcpu-8,2,0.312,1.106144,europe-west2-a,0.624,8,16,2 n1-highcpu-8's
30,pd-standard,5606,n1-highcpu-8,2,0.312,0.19974,europe-west2-a,0.624,8,16,2 n1-highcpu-8's
30,pd-standard,11968,n1-highcpu-8,2,0.312,0.830628,europe-west2-a,0.624,8,16,2 n1-highcpu-8's
30,pd-standard,6837,n1-highcpu-8,2,0.312,0.290076,europe-west2-a,0.624,8,16,2 n1-highcpu-8's
30,pd-standard,8876,n1-highcpu-8,2,0.312,0.474303,europe-west2-a,0.624,8,16,2 n1-highcpu-8's
30,pd-standard,9705,n1-highcpu-8,2,0.312,0.545188,europe-west2-a,0.624,8,16,2 n1-highcpu-8's
30,pd-standard,7191,n1-highcpu-8,2,0.312,0.311564,europe-west2-a,0.624,8,16,2 n1-highcpu-8's
30,pd-standard,9784,n1-highcpu-8,2,0.312,0.565628,europe-west2-a,0.624,8,16,2 n1-highcpu-8's
30,pd-standard,7371,n1-highcpu-8,2,0.312,0.32754,europe-west2-a,0.624,8,16,2 n1-highcpu-8's
30,pd-standard,11725,n1-highcpu-8,2,0.312,0.833216,europe-west2-a,0.624,8,16,2 n1-highcpu-8's
30,pd-standard,11175,n1-highcpu-8,2,0.312,0.746588,europe-west2-a,0.624,8,16,2 n1-highcpu-8's
30,pd-standard,9556,n1-highcpu-8,2,0.312,0.557083,europe-west2-a,0.624,8,16,2 n1-highcpu-8's
30,pd-standard,5128,n1-highcpu-8,2,0.312,0.17415,europe-west2-a,0.624,8,16,2 n1-highcpu-8's
30,pd-standard,11314,n1-highcpu-8,2,0.312,0.756853,europe-west2-a,0.624,8,16,2 n1-highcpu-8's
30,pd-standard,19234,n1-highcpu-8,2,0.312,2.137185,europe-west2-a,0.624,8,16,2 n1-highcpu-8's
30,pd-standard,16006,n1-highcpu-8,2,0.312,1.489946,europe-west2-a,0.624,8,16,2 n1-highcpu-8's
30,pd-standard,9368,n1-highcpu-8,2,0.312,0.497855,europe-west2-a,0.624,8,16,2 n1-highcpu-8's
30,pd-standard,8371,n1-highcpu-8,2,0.312,0.398043,europe-west2-a,0.624,8,16,2 n1-highcpu-8's
30,pd-standard,11468,n1-highcpu-8,2,0.312,0.741411,europe-west2-a,0.624,8,16,2 n1-highcpu-8's
30,pd-standard,10285,n1-highcpu-8,2,0.312,0.612894,europe-west2-a,0.624,8,16,2 n1-highcpu-8's
30,pd-standard,7714,n1-highcpu-8,2,0.312,0.357231,europe-west2-a,0.624,8,16,2 n1-highcpu-8's
30,pd-standard,4511,n1-highcpu-8,2,0.312,0.139917,europe-west2-a,0.624,8,16,2 n1-highcpu-8's
30,pd-standard,13034,n1-highcpu-8,2,0.312,0.973028,europe-west2-a,0.624,8,16,2 n1-highcpu-8's
30,pd-standard,16760,n1-highcpu-8,2,0.312,1.571416,europe-west2-a,0.624,8,16,2 n1-highcpu-8's
30,pd-standard,9236,n1-highcpu-8,2,0.312,0.487287,europe-west2-a,0.624,8,16,2 n1-highcpu-8's
30,pd-standard,13724,n1-highcpu-8,2,0.312,1.082793,europe-west2-a,0.624,8,16,2 n1-highcpu-8's
30,pd-standard,11318,n1-highcpu-8,2,0.312,0.73111,europe-west2-a,0.624,8,16,2 n1-highcpu-8's
30,pd-standard,10245,n1-highcpu-8,2,0.312,0.608081,europe-west2-a,0.624,8,16,2 n1-highcpu-8's
30,pd-standard,7817,n1-highcpu-8,2,0.312,0.360212,europe-west2-a,0.624,8,16,2 n1-highcpu-8's
30,pd-standard,7904,n1-highcpu-8,2,0.312,0.360111,europe-west2-a,0.624,8,16,2 n1-highcpu-8's
30,pd-standard,6385,n1-highcpu-8,2,0.312,0.252391,europe-west2-a,0.624,8,16,2 n1-highcpu-8's
30,pd-standard,10096,n1-highcpu-8,2,0.312,0.59999,europe-west2-a,0.624,8,16,2 n1-highcpu-8's
30,pd-standard,8013,n1-highcpu-8,2,0.312,0.381821,europe-west2-a,0.624,8,16,2 n1-highcpu-8's
30,pd-standard,11818,n1-highcpu-8,2,0.312,0.79428,europe-west2-a,0.624,8,16,2 n1-highcpu-8's
30,pd-standard,15620,n1-highcpu-8,2,0.312,1.386952,europe-west2-a,0.624,8,16,2 n1-highcpu-8's
30,pd-standard,6219,n1-highcpu-8,2,0.312,0.248009,europe-west2-a,0.624,8,16,2 n1-highcpu-8's
30,pd-standard,8338,n1-highcpu-8,2,0.312,0.397965,europe-west2-a,0.624,8,16,2 n1-highcpu-8's
30,pd-standard,9282,n1-highcpu-8,2,0.312,0.51128,europe-west2-a,0.624,8,16,2 n1-highcpu-8's
